year,unconditional_probability_percent
2026,0.000
2027,0.000
2028,0.000
2029,0.000
2030,0.003
2031,0.048
2032,0.319
2033,1.186
2034,2.819
2035,5.450
2036,8.593
2037,11.809
2038,14.876
2039,17.309
2040,19.331
2041,20.897
2042,22.010
2043,22.828
2044,23.424
2045,24.064
2046,24.808
2047,25.635
2048,26.773
2049,27.976
2050,29.394
2051,31.008
2052,32.855
2053,34.788
2054,36.877
2055,39.032
2056,41.191
2057,43.266
2058,45.136
2059,47.034
2060,48.913
2061,50.623
2062,52.240
2063,53.701
2064,55.038
2065,56.291
2066,57.372
2067,58.318
2068,59.164
2069,59.880
2070,60.460
2071,60.960
2072,61.385
2073,61.774
2074,62.093
2075,62.373
2076,62.665
2077,62.949
2078,63.243
2079,63.592
2080,63.946
2081,64.299
2082,64.712
2083,65.127
2084,65.558
2085,66.005
2086,66.437
2087,66.941
2088,67.459
2089,67.994
2090,68.522
2091,68.980
2092,69.506
2093,69.985
2094,70.467
2095,70.956
2096,71.436
2097,71.823
2098,72.253
2099,72.637
2100,73.021
